{'flowid': '41.177.26.17641.177.202.202', 'priority': 1000, 'positive': 58, 'all': 89, 'flag': True}
{'flowid': '41.177.26.176122.39.210.202', 'priority': 1000, 'positive': 2, 'all': 3, 'flag': True}
{'flowid': '246.142.244.3210.218.218.160', 'priority': 1000, 'positive': 19, 'all': 44, 'flag': True}
{'flowid': '244.3.160.23968.33.164.161', 'priority': 1000, 'positive': 12, 'all': 29, 'flag': True}
{'flowid': '41.177.26.9168.157.168.194', 'priority': 1000, 'positive': 290, 'all': 826, 'flag': True}
{'flowid': '46.90.205.219244.3.210.197', 'priority': 1000, 'positive': 36, 'all': 78, 'flag': True}
{'flowid': '244.3.153.252244.3.160.80', 'priority': 1000, 'positive': 3, 'all': 3, 'flag': True}
{'flowid': '41.177.241.10841.177.241.176', 'priority': 1000, 'positive': 18, 'all': 60, 'flag': True}
{'flowid': '41.177.98.3141.177.26.209', 'priority': 1000, 'positive': 2, 'all': 3, 'flag': True}
{'flowid': '244.3.210.19715.205.242.71', 'priority': 1000, 'positive': 4, 'all': 5, 'flag': True}
{'flowid': '40.193.220.9841.177.241.46', 'priority': 1000, 'positive': 190, 'all': 676, 'flag': True}
{'flowid': '244.3.160.239244.3.142.100', 'priority': 1000, 'positive': 19, 'all': 47, 'flag': True}
{'flowid': '41.177.26.21441.177.202.202', 'priority': 1000, 'positive': 5, 'all': 17, 'flag': True}
{'flowid': '244.3.160.23941.177.40.92', 'priority': 1000, 'positive': 92, 'all': 344, 'flag': True}
{'flowid': '41.177.26.17677.197.128.108', 'priority': 1000, 'positive': 10, 'all': 15, 'flag': True}
{'flowid': '77.197.128.10841.177.26.176', 'priority': 1000, 'positive': 3, 'all': 3, 'flag': True}
{'flowid': '246.142.244.31246.142.244.157', 'priority': 1000, 'positive': 8, 'all': 15, 'flag': True}
{'flowid': '77.197.128.15541.177.26.176', 'priority': 1000, 'positive': 10, 'all': 15, 'flag': True}
{'flowid': '41.177.31.94244.3.47.39', 'priority': 1000, 'positive': 103, 'all': 288, 'flag': True}
{'flowid': '41.177.26.55244.3.160.248', 'priority': 1000, 'positive': 9, 'all': 23, 'flag': True}
{'flowid': '77.197.128.6441.177.26.176', 'priority': 1000, 'positive': 42, 'all': 77, 'flag': True}
{'flowid': '244.3.31.67244.3.41.84', 'priority': 1000, 'positive': 37, 'all': 116, 'flag': True}
{'flowid': '41.177.3.20341.177.3.224', 'priority': 1000, 'positive': 11, 'all': 32, 'flag': True}
{'flowid': '41.177.202.20241.177.26.176', 'priority': 1000, 'positive': 93, 'all': 250, 'flag': True}
{'flowid': '246.142.244.98246.142.244.157', 'priority': 1000, 'positive': 42, 'all': 143, 'flag': True}
{'flowid': '77.139.113.22441.177.241.46', 'priority': 1000, 'positive': 48, 'all': 92, 'flag': True}
{'flowid': '41.177.24.241244.3.153.48', 'priority': 1000, 'positive': 6, 'all': 10, 'flag': True}
{'flowid': '244.3.185.17641.177.98.220', 'priority': 1000, 'positive': 3, 'all': 6, 'flag': True}
{'flowid': '94.2.202.203244.3.160.239', 'priority': 1000, 'positive': 14, 'all': 15, 'flag': True}
{'flowid': '77.197.128.22541.177.26.176', 'priority': 1000, 'positive': 47, 'all': 142, 'flag': False}
